code,name,market,industry,close_price,change_rate,market_cap
010280,아이티센엔텍,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",5550,1.09,72287401350
000230,일동홀딩스,KOSPI,의약품 제조업,6260,-3.99,72242904000
024740,한일단조,KOSDAQ,자동차 신품 부품 제조업,2195,1.15,72209022555
084680,이월드,KOSPI,귀금속 및 장신용품 제조업,509,-3.96,72179352237
041910,폴라리스AI파마,KOSDAQ,의약품 제조업,5430,-1.63,72128590500
443670,에스피소프트,KOSDAQ,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",3000,-6.4,72031692000
004720,팜젠사이언스,KOSPI,의약품 제조업,3175,-3.93,71927608875
360070,탑머티리얼,KOSDAQ,일차전지 및 이차전지 제조업,8780,-6.3,71926137540
357580,아모센스,KOSDAQ,전자부품 제조업,6100,-12.73,71917548200
058730,다스코,KOSPI,"구조용 금속제품, 탱크 및 증기발생기 제조업",3550,-3.27,71891941050
396270,넥스트칩,KOSDAQ,반도체 제조업,2185,-4.59,71859036735
234920,자이글,KOSDAQ,가정용 기기 제조업,5310,0.0,71849132100
044340,위닉스,KOSDAQ,가정용 기기 제조업,4010,-4.75,71672434250
250030,진코스텍,KONEX,기타 화학제품 제조업,24750,-2.56,71575341750
303810,동국생명과학,KOSDAQ,의약품 제조업,2235,-5.7,71484552900
031820,아이티센씨티에스,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",5900,-3.12,71420361400
010040,한국내화,KOSPI,"내화, 비내화 요업제품 제조업",1737,0.7,71333486694
229500,노브메타파마,KONEX,자연과학 및 공학 연구개발업,5490,1.1,71317773630
049080,기가레인,KOSDAQ,전자부품 제조업,8400,-3.0,71302005600
062970,한국첨단소재,KOSDAQ,통신 및 방송 장비 제조업,2495,-3.85,71218045965
095720,웅진씽크빅,KOSPI,초등 교육기관,1248,-1.42,70920202080
091590,남화토건,KOSDAQ,건물 건설업,6040,-5.33,70909600000
417970,모델솔루션,KOSDAQ,특수 목적용 기계 제조업,11080,-5.06,70875436000
120115,코오롱인더우,KOSPI,기타,25600,0.0,70857216000
140070,서플러스글로벌,KOSDAQ,기계장비 및 관련 물품 도매업,1915,4.42,70832020000
043610,KT지니뮤직,KOSDAQ,영상·오디오물 제공 서비스업,1218,-1.3,70784603484
221800,지구홀딩스,KOSDAQ,기타 과학기술 서비스업,4335,1.29,70742219085
012790,신일제약,KOSDAQ,의약품 제조업,5900,-1.17,70719848500
153710,옵티팜,KOSDAQ,의료용품 및 기타 의약 관련제품 제조업,4820,0.1,70709197560
092040,아미코젠,KOSDAQ,기타 식품 제조업,999,2.99,70584731613
084730,팅크웨어,KOSDAQ,통신 및 방송 장비 제조업,6350,-4.8,70544842400
338100,NH프라임리츠,KOSPI,부동산 임대 및 공급업,3780,-1.69,70534800000
066310,큐에스아이,KOSDAQ,반도체 제조업,7600,-2.31,70464319600
048430,유라테크,KOSDAQ,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",6110,-1.45,70387200000
0004V0,엔비알모션,KOSDAQ,기타 금속 가공제품 제조업,6380,-8.33,70246249920
048910,대원미디어,KOSDAQ,기타 전문 도매업,5580,0.18,70190518680
058400,KNN,KOSDAQ,텔레비전 방송업,5300,-2.03,70187751600
049550,잉크테크,KOSDAQ,기타 화학제품 제조업,3575,2.14,70092440275
332370,아이디피,KOSDAQ,컴퓨터 및 주변장치 제조업,5280,-3.65,70085273280
110790,크리스에프앤씨,KOSDAQ,봉제의복 제조업,2985,2.93,69941415600
